English lemma,Swedish lemma,POS,status
built-in test,inbyggd test,NP,automatically verified
built-in test,inbyggd test,NP,automatically verified
built-in test,inbyggd test,NP,automatically verified
built-in test,inbyggd test,NP,automatically verified
bulletin,rapport,N,automatically verified
bus,buss,N,automatically verified
bus,buss,N,automatically verified
business,näringsliv,N,automatically verified
business business,verksamheten företag,NP,suspected särskriving
business information system,affärsinformationssystem,NP,automatically verified
business intelligence,omvärldsbevakning,NP,automatically verified
business intelligence tool,omvärldsanalysverktyg,NP,automatically verified
business model,affärsmodell,NP,automatically verified
business model ontology,affärsmodell-ontologi,NP,automatically verified
business model,affärsmodell,NP,automatically verified
business plan,affärsplan,NP,automatically verified
business process,affärsprocess,NP,automatically verified
business process modelling,modellering av affärsprocesser,NP,no processing rule for swedish POS sequence
business rule,affärsregel,NP,automatically verified
business value,affärsvärde,NP,automatically verified
business vocabulary,affärs ordförråd,NP,suspected särskriving
business,företag,N,automatically verified
busy,upptagen,A,automatically verified
butter,smör,N,automatically verified
byte byte,byte bytes,NP,suspected särskriving
cable,kabel,N,automatically verified
cache,gömma,N,automatically verified
calculate,beräkna,V,automatically verified
calculating time,beräkningsgång,NP,automatically verified
calculation,kalkylering,N,automatically verified
calculation model,beräkningsmall,NP,automatically verified
calculation process,kalkylprocess,NP,automatically verified
calculation,beräkning,N,automatically verified
calibration,kalibrering,N,automatically verified
call called calling call,telefonera,NP,automatically verified
call processing language,samtalsbearbetningsspråk,NP,automatically verified
call routing,samtalsdirigering,NP,automatically verified
call,anropa,V,automatically verified
call,krav,N,automatically verified
callable,anropbar,A,automatically verified
camera calibration,kamerakalibrering,NP,automatically verified
camera,kamera,N,automatically verified
cancellation cancelling,annullering annullera,NP,no processing rule for swedish POS sequence
capability architecture,kapabilitetsarkitekturer,NP,automatically verified
capability,kompetens,N,automatically verified
capable capabilities capability,kapabel kapacitet kapacitet,NP,suspected särskriving
capacity,kapacitet,N,automatically verified
capacity assessment,klassningsberäkning,NP,automatically verified
capacity,kapacitet,N,automatically verified
capsule,kapsel,N,automatically verified
capture,fånga,V,automatically verified
car,bil,N,automatically verified
card reader,kortläsare,NP,automatically verified
card sort,kort sortera,NP,no processing rule for swedish POS sequence
card,kort,N,automatically verified
cardiovascular disease,hjärt-kärlsjukdom,NP,automatically verified
carriage,vagn,N,automatically verified
carrier cloud,operatörmoln,NP,automatically verified
carrier,bärare,N,automatically verified
cartridge,patron,N,automatically verified
case case,fall fallen,NP,suspected särskriving
case study,fallstudie,NP,automatically verified
categorical,kategorisk,A,automatically verified
category,kategori,N,automatically verified
category,kategori,N,automatically verified
cathode,katod,N,automatically verified
cell cell,cell celler,NP,suspected särskriving
cell,cell,N,automatically verified
cellular,cellulär,A,automatically verified
censorship,censur,N,automatically verified
central centralized centralization,central centraliserad centralisering,NP,no processing rule for swedish POS sequence
central,central,A,automatically verified
centralized network,centraliserat nät,NP,automatically verified
centric,centrerad,A,automatically verified
century,århundrade,N,automatically verified
certain,viss,A,automatically verified
certificate authority,certifikatutfärdare,NP,automatically verified
certificate certifies,certifikat intygar,NP,no processing rule for swedish POS sequence
chain,kedja,N,automatically verified
chairman,ordförande,N,automatically verified
challenge,utmana,V,automatically verified
challenge,utmaning,N,automatically verified
change management,förändringsledning,NP,automatically verified
change readiness,förändringsberedskap,NP,automatically verified
change,ändra,V,automatically verified
changing project,förändringsprojekt,NP,automatically verified
channel,kanal,N,automatically verified
chaos,kaos,N,automatically verified
chapter chapter,kapitlet kapitel,NP,suspected särskriving
character,karaktär,N,automatically verified
characteristic,karaktäristisk,A,automatically verified
characteristic,egenskap,N,automatically verified
charges charging charged,laddningar laddar laddade,NP,no processing rule for swedish POS sequence
charter charter,stadgan stadgar,NP,no processing rule for swedish POS sequence
chat,prat,N,automatically verified
cheap cheaper,billig billigare,NP,no processing rule for swedish POS sequence
check checks checked checking,kontrollera kontroller kontrolleras kontroll,NP,no processing rule for swedish POS sequence
check,kontrollera,V,automatically verified
check,test,N,automatically verified
chemistry,kemi,N,automatically verified
child,barn,N,automatically verified
choice,val,N,automatically verified
circuit circuitry,krets kretsar,NP,no processing rule for swedish POS sequence
circuit structure,kretsstruktur,NP,automatically verified
circuit,krets,N,automatically verified
circuit-switching network,kretskopplat nät,NP,automatically verified
circumstance,omständighet,N,automatically verified
citation,citering,N,automatically verified
city,stad,N,automatically verified
city tour,stadstur,NP,automatically verified
class attendance,klassnärvaro,NP,automatically verified
class class,klass klasser,NP,suspected särskriving
class d amplifier,klass d-förstärkare,NP,suspected särskriving
class diagram,klassmodell,NP,automatically verified
class,klass,N,automatically verified
classification,klassificering,N,automatically verified
classify classifies,klassificera klassificerar,NP,no processing rule for swedish POS sequence
classless,klasslös,A,automatically verified
classroom,klassrum,N,automatically verified
clear clears clearly,klara rensar klart,NP,no processing rule for swedish POS sequence
client,klient,N,automatically verified
clinical decision support system,kliniskt beslutsstödssystem,NP,automatically verified
clinical information,klinisk information,NP,automatically verified
clock,klocka,N,automatically verified
clock,klocka,N,automatically verified
close,stänga,V,automatically verified
closure,hölje,N,automatically verified
cloud computing,datormoln,NP,automatically verified
cloud data center,moln datacenter,NP,suspected särskriving
cloud management system,molnhanteringssystem,NP,automatically verified
cloud network,molnnätverk,NP,automatically verified
cloud service provider,moln-tjänsteleverantör,NP,automatically verified
cloud service type,typ av molntjänst,NP,no processing rule for swedish POS sequence
cloud,moln,N,automatically verified
cluster head,klusterhuvud,NP,automatically verified
cluster,kluster,N,automatically verified
code breaking,kodknäckning,NP,automatically verified
code development tool,kodutvecklingsverktyg,NP,automatically verified
code generation,kodgenerering,NP,automatically verified
code generator,kodgenerator,NP,automatically verified
code,koda,V,automatically verified
code,kod,N,automatically verified
codes coded coding,koder kodade kodning,NP,no processing rule for swedish POS sequence
coding theory,kodningsteori,NP,automatically verified
coexistence,samexistens,N,automatically verified
cognitive radio,kognitiv radio,NP,automatically verified
cognitive science,kognitionsvetenskap,NP,automatically verified
cognitive simulation,kognitiv simulering,NP,automatically verified
cognitive workload,kognitiv belastning,NP,automatically verified
coherent receiver,koherent mottagare,NP,automatically verified
colleague,kollega,N,automatically verified
collection collection,insamlings samlingar,NP,suspected särskriving
collection,samling,N,automatically verified
collision collide,kollision kolliderar,NP,no processing rule for swedish POS sequence
collision,kollision,N,automatically verified
color,färg,N,automatically verified
color model,färgmodell,NP,automatically verified
color,färg,N,automatically verified
column,kolumn,N,automatically verified
combinational logic,kombinatorisk logik,NP,could not lemmatize swedish adjective
combine combines combining combination combinations combined,kombinera kombinerar kombinera kombination kombinationer kombineras,NP,suspected särskriving
come comes coming,komma kommer kommande,NP,no processing rule for swedish POS sequence
comfort,komfort,N,automatically verified
comma,komma,N,automatically verified
command,kommando,N,automatically verified
command-line interpreter,kommandotolk,NP,automatically verified
comment,kommentar,N,automatically verified
comment,kommentar,N,automatically verified
commerce,handel,N,automatically verified
commercial,kommersiell,A,automatically verified
commercial,kommersiell,A,automatically verified
commercial,reklamfilm,N,automatically verified
commercialization plan,kommersialisering planen,NP,suspected särskriving
commission,kommission,N,automatically verified
commission,kommission,N,automatically verified
common,vanlig,A,automatically verified
common commonality,gemensam gemensamhet,NP,automatically verified
communicate,kommunicera,V,automatically verified
communication communications communicate communicating communicator,kommunikation kommunikationer kommunicera kommunicerar kommunikatör,NP,suspected särskriving
communication system,kommunikationssystem,NP,automatically verified
communication,kommunikation,N,automatically verified
communications application,kommunikationstillämpning,NP,automatically verified
communications management,kommunikationshantering,NP,automatically verified
communications protocol,kommunikationsprotokoll,NP,automatically verified
communicative approach,kommunikativ presentationsmodell,NP,automatically verified
community based network,gemenskap baserat nätverk,NP,no processing rule for swedish POS sequence
community,grupp,N,automatically verified
compact,kompakt,A,automatically verified
company company,företag,NP,automatically verified
comparable,jämförbar,A,automatically verified
compare compared comparing comparable,jämföra jämförs jämföra jämförbar,NP,no processing rule for swedish POS sequence
comparison,jämförelse,N,automatically verified
comparison,jämförelse,N,automatically verified
compatible,kompatibel,A,automatically verified
compensate,kompensera,V,automatically verified
compete competing,konkurrera konkurrerande,NP,no processing rule for swedish POS sequence
competence,kompetens,N,automatically verified
competence development,kompetensutveckling,NP,automatically verified
competition,konkurrens,N,automatically verified
competitive advantage,konkurrensfördel,NP,automatically verified
competitor,konkurrent,N,automatically verified
compilation,kompilering,N,automatically verified
compile,kompilera,V,automatically verified
compiler construction,kompilatorkonstruktion,NP,automatically verified
compiler technique,kompilatortekniker,NP,automatically verified
compiler,kompilator,N,automatically verified
complement,komplettera,V,automatically verified
complement,komplement,N,automatically verified
complete,avsluta,V,automatically verified
completeness,fullständighet,N,automatically verified
completion,komplettering,N,automatically verified
complex complexity,komplex komplexitet,NP,automatically verified
complex knowledge transfer,komplex kunskapsöverföring,NP,automatically verified
complexity analysis,komplexitetsanalys,NP,automatically verified
complexity hierarchy,komplexitetshierarkier,NP,automatically verified
complexity measure,komplexitetsmått,NP,automatically verified
complexity,komplexitet,N,automatically verified
component,tillhörande,N,automatically verified
component,komponent,N,automatically verified
component,komponent,N,automatically verified
compose,komponera,V,automatically verified
composite,komposit,N,automatically verified
composite structure,sammansatt struktur,NP,automatically verified
composition,komposition,N,automatically verified
comprehend,begripa,V,automatically verified
comprehension,fattningsförmåga,N,automatically verified
compress compressed compression,komprimera komprimerad kompression,NP,no processing rule for swedish POS sequence
compression,komprimering,N,automatically verified
comprises comprising,innefattar innefattande,NP,no processing rule for swedish POS sequence
compulsory,obligatorisk,A,automatically verified
computation by abstract device,databehandling genom abstrakta enheter,NP,no processing rule for swedish POS sequence
computation,beräkning,N,automatically verified
computational,beräkningsmässig,A,automatically verified
computational biology,beräkningsbiologi,NP,automatically verified
computational chemistry,beräkningskemi,NP,automatically verified
computational fluid dynamic,beräkningsströmningsdynamik,NP,automatically verified
computational model,beräkningsmodell,NP,automatically verified
computational physic,beräkningsfysik,NP,automatically verified
computational program,beräkningsprogram,NP,automatically verified
computations in finite field,beräkningar på begränsade områden,NP,no processing rule for swedish POS sequence
computations on discrete structure,beräkningar på diskreta strukturer,NP,no processing rule for swedish POS sequence
computations on matrix,beräkningar av matriser,NP,no processing rule for swedish POS sequence
compute,beräkna,V,automatically verified
computer application,datortillämpning,NP,automatically verified
computer architecture,datorarkitektur,NP,automatically verified
computer based patient record,datorbaserad patientjournal,NP,automatically verified
computer case,datorchassi,NP,automatically verified
computer construction,datorkonstruktion,NP,automatically verified
computer data storage,datorminne,NP,automatically verified
computer engineering,datateknik,NP,automatically verified
computer graphic,datorgrafik,NP,automatically verified
computer graphic,datorgrafik,NP,automatically verified
computer interaction,datorinteraktion,NP,automatically verified
computer literacy,datorkunnighet,NP,automatically verified
computer mouse,datormus,NP,automatically verified
computer network,datornätverk,NP,automatically verified
computer program,datorprogram,NP,automatically verified
computer science education,utbildning i datavetenskap,NP,no processing rule for swedish POS sequence
computer science,datavetenskap,NP,automatically verified
computer scientist,datalog,NP,automatically verified
computer security model,datasäkerhetsmodell,NP,automatically verified
computer security,datasäkerhet,NP,automatically verified
computer selection,val av datorer,NP,no processing rule for swedish POS sequence
computer system architecture,datorsystemarkitektur,NP,automatically verified
computer system component,datorsystemkomponent,NP,automatically verified
computer system implementation,införande av datorsystem,NP,no processing rule for swedish POS sequence
computer system,datorsystem,NP,automatically verified
computer systems organization,organisation av datorsystem,NP,no processing rule for swedish POS sequence
computer terminal,datorterminal,NP,automatically verified
computer uses in education,användning av datorer i utbildning,NP,no processing rule for swedish POS sequence
computer vision,datorseende,NP,automatically verified
computer vision,datorseende,NP,automatically verified
computer vision,datorseende,NP,automatically verified
computer,dator,N,automatically verified
computer-aided design,datorstödd konstruktion,NP,automatically verified
computer-aided manufacturing,datorstödd tillverkning,NP,automatically verified
computer-aided software engineering,datorstödd programkonstruktion,NP,automatically verified
computer-communication network,datakommunikationsnät,NP,automatically verified
computer-related health issue,datorrelaterad hälsofrågor,NP,automatically verified
computer-supported collaborative work,datorstött samarbete,NP,automatically verified
computers in other system,datorer i övriga system,NP,no processing rule for swedish POS sequence
computing capacity,beräkningskapacitet,NP,automatically verified
computing equipment management,förvaltning av datorutrustning,NP,no processing rule for swedish POS sequence
computing methodology,databehandlingsmetod,NP,automatically verified
computing milieux,databehandlingsmiljö,NP,automatically verified
conceive,uttänkt,V,automatically verified
concept learning,begreppsinlärning,NP,automatically verified
concept,koncept,N,automatically verified
conceptual,begreppsmässig,A,automatically verified
conceptual modeling,begreppsmodellering,NP,automatically verified
conceptualization,begreppsmässighet,N,automatically verified
concise,koncis,A,automatically verified
conclude concluded,sluta slutsatsen,NP,no processing rule for swedish POS sequence
concurrent programming,jämlöpande programmering,NP,no processing rule for swedish POS sequence
concurrent programming structure,jämlöpande programmeringsstrukturer,NP,no processing rule for swedish POS sequence
condition,villkor,N,automatically verified
conditional,villkorlig,A,automatically verified
cone,ko,N,automatically verified
conference proceeding,konferenshandling,NP,automatically verified
conference,konferens,N,automatically verified
confidence,förtroende,N,automatically verified
confidential information,konfidentiell information,NP,could not lemmatize swedish adjective
configuration theory,konfigurationsteori,NP,automatically verified
configuration,konfiguration,N,automatically verified
confirmation,bekräftelse,N,automatically verified
conformance,överensstämmelse,N,automatically verified
congestion control,stockningskontroll,NP,automatically verified
congestion identification,identifiering av överbelastning,NP,no processing rule for swedish POS sequence
congestion,stockning,N,automatically verified
congress,kongress,N,automatically verified
conjunction,konjunktion,N,automatically verified
connect traffic load,anslut trafikbelastning,NP,suspected särskriving
connect,ansluta,V,automatically verified
connected home,anslutet hem,NP,automatically verified
connection,sammankoppling,N,automatically verified
connection,anslutning,N,automatically verified
conquer,erövra,V,automatically verified
conservative synchronization,konservativ synkronisering,NP,automatically verified
consider considered,överväga anses,NP,no processing rule for swedish POS sequence
consistency,konsistens,N,automatically verified
consistent,konsekvent,A,automatically verified
consolidates consolidation,konsoliderar konsolidering,NP,no processing rule for swedish POS sequence
constrained optimization,framtvingad optimering,NP,automatically verified
constraint constraints constrained,begränsnings begränsningar begränsas,NP,suspected särskriving
constraint programming,villkorsprogrammering,NP,automatically verified
constraint,begränsning,N,automatically verified
construct,konstruera,V,automatically verified
construction,konstruktion,N,automatically verified
constructive solid geometry,konstruktiv rymdgeometri,NP,automatically verified
consumer product,konsumentprodukt,NP,automatically verified
consumer,konsument,N,automatically verified
consumer,konsument,N,automatically verified
contact contacts contacted contacting,kontakt kontakter kontaktade kontakt,NP,suspected särskriving
contain contains containers containing contained,innehåller innehåller containrar innehållande inne,NP,no processing rule for swedish POS sequence
container,behållare,N,automatically verified
contenders contending,utmanare stridande,NP,no processing rule for swedish POS sequence
content based addressing,innehållsbaserad adressering,NP,automatically verified
content content,innehåll,NP,automatically verified
content delivery,innehållsleverans,NP,automatically verified
content distribution,innehållsdistribution,NP,automatically verified
content management,innehållshantering,NP,automatically verified
contention management,påstående förvaltning,NP,suspected särskriving
context dissemination,sammanhangsspridning,NP,automatically verified
context information,sammanhangsinformation,NP,automatically verified
context information distribution,kontextuell informationsfördelning,NP,automatically verified
context,kontext,N,automatically verified
contiguous representation,angränsande representationer,NP,no processing rule for swedish POS sequence
continual,ständig,A,automatically verified
continuation,fortsättning,N,automatically verified
continuation,fortsättning,N,automatically verified
continue continues continued continuing,fortsätta fortsätter fortsatt fortsatt,NP,no processing rule for swedish POS sequence
continuity,kontinuitet,N,automatically verified
continuous,kontinuerlig,A,automatically verified
continuous,kontinuerlig,A,automatically verified
continuous double auction,kontinuerlig dubbel auktion,NP,no processing rule for swedish POS sequence
continuous improvement,ständig förbättring,NP,automatically verified
contract,kontrakt,N,automatically verified
contract,avtal,N,automatically verified
contribute contributing contributed contribution,bidra bidragande bidragit bidrag,NP,no processing rule for swedish POS sequence
control channel element,kontrollkanalelementen,NP,automatically verified
control design,kontrolldesign,NP,automatically verified
control design style,kontrolldesignmodeller,NP,automatically verified
control flow,programflöde,NP,automatically verified
control plane,styrplan,NP,automatically verified
control structure,kontrollstruktur,NP,automatically verified
control system,styrsystem,NP,automatically verified
control theory,kontrollteori,NP,automatically verified
control theory,reglerteknik,NP,automatically verified
control unit,styrenhet,NP,automatically verified
control,kontrollera,V,automatically verified
control,kontroll,N,automatically verified
controller,kontrollant,N,automatically verified
convenience,bekvämlighet,N,automatically verified
convention,konvention,N,automatically verified
convention,konvention,N,automatically verified
convergence driver,konvergensdrivare,NP,automatically verified
convergence service,konvergenstjänster,NP,automatically verified
convergent converged convergence converging,konvergent konvergerade konvergens konvergerande,NP,suspected särskriving
conversion,omvandling,N,automatically verified
convert converts converter converted converting,konvertera omvandlar omvandlare konverterad omvandla,NP,no processing rule for swedish POS sequence
convert,omvandla,V,automatically verified
cooling,kylning,N,automatically verified
cooperation cooperating,samverkan samarbetsvilliga,NP,no processing rule for swedish POS sequence
cooperative,samverkande,N,automatically verified
cooperative spectrum sensing,kooperativ spektrumavkänning,NP,automatically verified
cooperative,kooperativ,N,automatically verified
coordinate,samordna,V,automatically verified
copy,kopiera,V,automatically verified
copyright,copyright,N,automatically verified
copyright,upphovsrätt,N,automatically verified
core memory,kärnminne,NP,automatically verified
corporate news,företagsnyhet,NP,automatically verified
corporate performance management,verksamhetsstyrning,NP,automatically verified
corporate social networking,företagens sociala nätverk,NP,no processing rule for swedish POS sequence
corporate social network,företagsbaserade sociala nätverk,NP,no processing rule for swedish POS sequence
corporation,bolag,N,automatically verified
correct correction correcting,korrekt korrigering korrigera,NP,no processing rule for swedish POS sequence
correction,rättelse,N,automatically verified
correction,korrigering,N,automatically verified
correctness proofs,bevis på felfrihet,NP,no processing rule for swedish POS sequence
correctness,korrekthet,N,automatically verified
cost benefit analysis,kostnad-nytta-analys,NP,automatically verified
cost cost,kostnad kostnader,NP,suspected särskriving
cost,kostnad,N,automatically verified
count,räkna,V,automatically verified
counterpart,motsvarighet,N,automatically verified
counterpoint,kontrapunkt,N,automatically verified
county,län,N,automatically verified
country country,land länderna,NP,suspected särskriving
coupled coupling,kopplad koppling,NP,automatically verified
coupler,koppling,N,automatically verified
course evaluation,kursutvärdering,NP,automatically verified
course plan,kursplan,NP,automatically verified
course,kurs,N,automatically verified
cover covered,täck täckt,NP,no processing rule for swedish POS sequence
coverage,täckning,N,automatically verified
create creates creating created,skapa,NP,automatically verified
create,skapa,V,automatically verified
creation,skapande,N,automatically verified
creativity,kreativitet,N,automatically verified
criterion,kriterium,N,automatically verified
critical,kritisk,A,automatically verified
criticize,kritisera,V,automatically verified
cross platform tool,multiplattformsverktyg,NP,automatically verified
cross,kors,N,automatically verified
cross-border planning,gränsöverskridande planering,NP,no processing rule for swedish POS sequence
cross-cultural,tvärkulturell,A,automatically verified
cross-layer optimization,kors-nivå optimering,NP,suspected särskriving
cruise,kryssning,N,automatically verified
cryptographic,kryptografisk,A,automatically verified
cryptographic control,kryptografiska kontroller,NP,could not lemmatize swedish adjective
cryptographically generated address,kryptografiskt genererade adresser,NP,no processing rule for swedish POS sequence
crystal,kristall,N,automatically verified
cubic,kubisk,A,automatically verified
cultural difference,kulturell skillnad,NP,automatically verified
cultural usability,kulturell användbarhet,NP,automatically verified
cumulative,kumulativ,A,automatically verified
currency,valuta,N,automatically verified
currency linked system,valuta kopplade system,NP,no processing rule for swedish POS sequence
current,nuvarande,N,automatically verified
current,ström,N,automatically verified
current starved,ström utsvulten,NP,suspected särskriving
current,ström,N,automatically verified
curriculum,kursplan,N,automatically verified
curve,kurva,N,automatically verified
curve,representationer av kurvor,NP,no processing rule for swedish POS sequence
customer complaint,kundreklamation,NP,automatically verified
customer customers customize customized,kund kunder,NP,suspected särskriving
customer premises equipment,kundplacerad utrustning,NP,automatically verified
customer relation,kundrelation,NP,automatically verified
customer relationship management,kundrelationshantering,NP,automatically verified
customer retention,kundlojalitet,NP,automatically verified
customer satisfaction,kundnöjdhet,NP,automatically verified
customer support,kundsupport,NP,automatically verified
customer,kund,N,automatically verified
cycle,cykel,N,automatically verified
cyclic redundancy check,cyklisk redundanskontroll,NP,automatically verified
cylinder,cylinder,N,automatically verified
danger,fara,N,automatically verified
data,data,N,automatically verified
data,data,N,automatically verified
data abstraction,dataabstraktion,NP,automatically verified
data burst,dataskur,NP,automatically verified
data center model,datacenter modell,NP,suspected särskriving
data center,datorhall,NP,automatically verified
data collection,datasamling,NP,automatically verified
data communication,datakommunikation,NP,automatically verified
data communication,datakommunikation,NP,automatically verified
data communication,datakommunikation,NP,automatically verified
data communications device,datakommunikationsenhet,NP,automatically verified
data concentration unit,datakoncentratorn enhet,NP,suspected särskriving
data confidentiality,datasekretess,NP,automatically verified
data dependency,databeroende,NP,automatically verified
data description language,databeskrivningsspråk,NP,automatically verified
data encryption,kryptering av data,NP,no processing rule for swedish POS sequence
data encryption standard,des-standard,NP,automatically verified
data management,datahantering,NP,automatically verified
data manipulation language,datamanipuleringsspråk,NP,automatically verified
data mining,datautvinning,NP,automatically verified
data mining,datautvinning,NP,automatically verified
data processing,databehandling,NP,automatically verified
data recovery,dataräddning,NP,automatically verified
data retention directive,datalagringsdirektiv,NP,automatically verified
data set,datamängd,NP,automatically verified
data storage device,lagringsmedium,NP,automatically verified
data storage representation,representationer inom datalagring,NP,no processing rule for swedish POS sequence
data structure,datastruktur,NP,automatically verified
data structure,datastruktur,NP,automatically verified
data transfer,dataöverföring,NP,automatically verified
data type,datatyp,NP,automatically verified
data warehouse appliance,datalager apparaten,NP,suspected särskriving
data warehousing,datalagring,NP,automatically verified
data,data,N,automatically verified
data-centric,uppgifter centrerade,NP,no processing rule for swedish POS sequence
data-flow architecture,dataflödesarkitekturer,NP,automatically verified
data-flow language,dataflödesspråk,NP,automatically verified
data-only,endast data,NP,no processing rule for swedish POS sequence
data-processing,databehandling,N,automatically verified
database application,databastillämpning,NP,automatically verified
database database,databas,NP,automatically verified
database performance,databasprestanda,NP,automatically verified
database processing,databas,NP,automatically verified
database security,databassäkerhet,NP,automatically verified
date date,datum datumen,NP,suspected särskriving
day day,dag dagar,NP,suspected särskriving
day,dag,N,automatically verified
de-interlace,sätta samman två halvbilder till en helbilder,NP,no processing rule for swedish POS sequence
death,död,N,automatically verified
debacle,debacle,N,automatically verified
debugging aid,avlusningshjälpmedel,NP,automatically verified
decentralized action handler,decentraliserad åtgärd handler,NP,no processing rule for swedish POS sequence
decentralized diagnosis platform,decentraliserad diagnos plattform,NP,suspected särskriving
decide,bestämma,V,automatically verified
decimal,decimal,N,automatically verified
decimal,decimal,N,automatically verified
decision,beslut,N,automatically verified
decision table,beslutstabell,NP,automatically verified
declaration,deklaration,N,automatically verified
declare,deklarera,V,automatically verified
decode decoder,avkoda avkodare,NP,no processing rule for swedish POS sequence
decompose,nedbryta,V,automatically verified
decreases decreased,minskar minskat,NP,no processing rule for swedish POS sequence
decryption decrypting,dekryptering,NP,automatically verified
default,standard,N,automatically verified
default value,standardvärde,NP,automatically verified
default,standard,N,automatically verified
define defines defining defined,definiera definierar,NP,no processing rule for swedish POS sequence
define,definiera,V,automatically verified
definition definitions definitive,definition definitioner slutgiltig,NP,suspected särskriving
definition,definition,N,automatically verified
degradation,nedbrytning,N,automatically verified
degree,grad,N,automatically verified
degree,examen,N,automatically verified
delay delays delayed,fördröjning förseningar,NP,suspected särskriving
delay measurement,fördröjningsmätning,NP,automatically verified
delay,fördröjning,N,automatically verified
delay-insensitive,fördröjning okänsliga,NP,no processing rule for swedish POS sequence
delegation delegated,delegering,NP,automatically verified
delete deletion deleted,radera radering raderas,NP,no processing rule for swedish POS sequence
delight,glädje,N,automatically verified
delivery delivery,leverans leveranser,NP,suspected särskriving
delivery,leverans,N,automatically verified
delta debugging,delta felsökning,NP,no processing rule for swedish POS sequence
demands demanding,krav krävande,NP,no processing rule for swedish POS sequence
demilitarized zone,demilitariserad zon,NP,could not lemmatize swedish adjective
demonstrate demonstrated demonstration,demonstrera demonstreras demonstration,NP,no processing rule for swedish POS sequence
denial denied,förnekande förnekas,NP,no processing rule for swedish POS sequence
denial,avslag,N,automatically verified
dense,tät,A,automatically verified
density,densitet,N,automatically verified
density,densitet,N,automatically verified
depart,avgå,V,automatically verified
department relocation,omlokalisering avdelning,NP,suspected särskriving
depend depends dependent depending,bero beror beroende beroende,NP,no processing rule for swedish POS sequence
dependency management framework,beroendet förvaltning ramverk,NP,suspected särskriving
dependency,beroende,N,automatically verified
deploy,utplacerad,V,automatically verified
depth cue,djupindikator,NP,automatically verified
depth,djup,N,automatically verified
derivative,derivat,N,automatically verified
derive,derivera,V,automatically verified
derived deriving,härledd härrör,NP,no processing rule for swedish POS sequence
describe describes described describing,beskriva beskriver beskrivits beskriver,NP,no processing rule for swedish POS sequence
description description,beskrivning beskrivningar,NP,suspected särskriving
description,beskrivning,N,automatically verified
design,konstruktion,N,automatically verified
design,design,N,automatically verified
design aid,designhjälpmedel,NP,automatically verified
design aid,designhjälpmedel,NP,automatically verified
design aid,designhjälpmedel,NP,automatically verified
design compiler,utformning kompilator,NP,suspected särskriving
design language,designspråk,NP,automatically verified
design management,designstyrning,NP,automatically verified
design methodology,designmetodik,NP,automatically verified
design pattern,designmönster,NP,automatically verified
design process,designprocess,NP,automatically verified
design science,konstruktion vetenskap,NP,suspected särskriving
design study,designstudie,NP,automatically verified
design style,designmodell,NP,automatically verified
design style,konstruktionsmetod,NP,automatically verified
design,designa,V,automatically verified
design,design,N,automatically verified
designate designed,benämna betecknad,NP,no processing rule for swedish POS sequence
desirable,önskvärd,A,automatically verified
desired desirable,önskad önskvärt,NP,no processing rule for swedish POS sequence
desktop computer,skrivbordsdator,NP,automatically verified
desktop publishing,datorstödd trycksaksproduktion,NP,automatically verified
desktop publishing,datorstödd trycksaksproduktion,NP,automatically verified
desperate,desperat,A,automatically verified
destined destination,bestämd destination,NP,automatically verified
detail detail,detalj detaljer,NP,suspected särskriving
detect,upptäcka,V,automatically verified
detection,detektion,N,automatically verified
detection,upptäckt,N,automatically verified
detector,detektor,N,automatically verified
determine determines determining determined determination,bestämma bestämmer bestämmer beslut bestämning,NP,suspected särskriving
determine,fastställa,V,automatically verified
deterministic,deterministisk,A,automatically verified
deterministic,deterministisk,A,automatically verified
develop development developments developed developing,utveckla utveckling utvecklingar utvecklade utvecklings,NP,suspected särskriving
develop,utveckla,V,automatically verified
developer developer,utvecklare,NP,automatically verified
developer,utvecklare,N,automatically verified
development environment,utvecklingsmiljö,NP,automatically verified
development process,utvecklingsprocess,NP,automatically verified
development,utveckling,N,automatically verified
deviation,avvikelse,N,automatically verified
device cloud,enhet moln,NP,suspected särskriving
device discovery,enhetsupptäckt,NP,automatically verified
device driver,drivrutin,NP,automatically verified
device driver,drivrutin,NP,automatically verified
device independence,enhetsoberoende,NP,automatically verified
device management,enhetshantering,NP,automatically verified
device registration,enhetsregistrering,NP,automatically verified
device,enhet,N,automatically verified
diagram,diagram,N,automatically verified
dialog dialog,dialog dialoger,NP,suspected särskriving
dictionary,lexikon,N,automatically verified
differ differs difference differences different,skiljer skiljer skillnads skillnader annorlunda,NP,suspected särskriving
differentiable,differentierbar,A,automatically verified
differential equation,differentialekvation,NP,automatically verified
differentiate,differentiera,V,automatically verified
difficult difficulty,svår svårighet,NP,automatically verified
diffusion,diffusion,N,automatically verified
digital,digital,A,automatically verified
digital security,datasäkerhet,NP,automatically verified
digital signage,digital skylt,NP,automatically verified
digital signal processor,signalprocessor,NP,automatically verified
digital signature,digital signatur,NP,automatically verified
digital subscriber line,digital abonnentanslutning,NP,automatically verified
dilemma,dilemma,N,automatically verified
dimension,dimension,N,automatically verified
direct directs direction directions directive directives directed,direkt styr riktningsdirektiv riktningar direktivet riktade,NP,suspected särskriving
direct data manipulation,direkt datamanipulering,NP,automatically verified
direct memory access,direkt minnesåtkomst,NP,automatically verified
direction directional,riktning riktnings,NP,suspected särskriving
directional,riktad,A,automatically verified
